Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
NaN,-77,-70,-71,-79,-63,-88,NaN,10.8696368,-1.0751986,2129,8.62E+14,735922.4744
0,-72,-76,-71,-81,-35,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.4745
0,-78,-85,-74,-78,-57,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.4746
0,-83,-76,-76,-84,-49,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.4747
0,-95,-91,-90,-93,-62,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.4749
0,-85,-84,-91,-90,-74,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.475
0,-98,-75,-78,-82,-64,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.4751
0,-88,-90,-87,-89,-77,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.4752
0,-95,-88,-97,-90,-66,0,0,10.8696368,-1.0751986,2129,8.62E+14,735922.4753
0,-85,-95,-77,-72,-68,-98,0,10.8728791,-1.0754233,2502,8.62E+14,735922.4921
0,-77,-90,-70,-86,-67,0,0,10.8728791,-1.0754233,2502,8.62E+14,735922.4923
0,-74,-93,-75,-78,-66,0,0,10.8733469,-1.0766664,2502,8.62E+14,735922.4924
0,-78,-92,-78,-70,-68,0,0,10.8733469,-1.0766664,2502,8.62E+14,735922.4925
0,-70,-83,-68,-70,-65,0,0,10.8733469,-1.0766664,2502,8.62E+14,735922.4926
0,-85,-77,-60,-59,-46,0,0,10.8733469,-1.0766664,2502,8.62E+14,735922.4927
0,-93,-86,-60,-61,-43,0,0,10.8733469,-1.0766664,2502,8.62E+14,735922.4928
0,-79,-78,-60,-61,-43,0,0,10.8794383,-1.0772314,2502,8.62E+14,735922.493
0,-88,-78,-60,-60,-45,0,0,10.8806565,-1.0773445,2502,8.62E+14,735922.4931
0,-81,-87,-58,-61,-45,0,0,10.8806565,-1.0773445,2502,8.62E+14,735922.4932
0,-80,-84,-60,-61,-43,0,0,10.8806565,-1.0773445,2502,8.62E+14,735922.4933
0,-62,-84,-61,-61,-44,0,0,10.8806565,-1.0773445,2502,8.62E+14,735922.4934
0,-71,-86,-60,-60,-43,0,0,10.8806565,-1.0773445,2502,8.62E+14,735922.4935
